X;CH1;CH2;Start;Increment;;X;CH1;CH2;Start;Increment;;X;CH1;CH2;Start;Increment;;
Sequence;Volt;Volt;-3,50E-03;5,00E-06;;Sequence;Volt;Volt;-3,50E-03;5,00E-06;;Sequence;Volt;Volt;-3,50E-03;5,00E-06;;
112;-7,60E-01;6,40E-01;;;;112;1,36E+00;9,20E-01;;;;112;-1,48E+00;-1,44E+00;;;;
113;-8,40E-01;4,80E-01;;;;113;1,28E+00;1,00E+00;;;;113;-1,44E+00;-1,36E+00;;;;
114;-8,00E-01;4,80E-01;;;;114;1,32E+00;9,60E-01;;;;114;-1,44E+00;-1,44E+00;;;;
115;-8,80E-01;3,60E-01;;;;115;1,40E+00;1,04E+00;;;;115;-1,52E+00;-1,40E+00;;;;
116;-8,40E-01;4,00E-01;;;;116;1,40E+00;1,00E+00;;;;116;-1,48E+00;-1,40E+00;;;;
117;-9,20E-01;2,40E-01;;;;117;1,32E+00;1,08E+00;;;;117;-1,44E+00;-1,44E+00;;;;
118;-8,80E-01;2,40E-01;;;;118;1,36E+00;1,04E+00;;;;118;-1,48E+00;-1,44E+00;;;;
119;-9,60E-01;1,20E-01;;;;119;1,44E+00;1,12E+00;;;;119;-1,44E+00;-1,40E+00;;;;
120;-1,00E+00;1,60E-01;;;;120;1,36E+00;1,08E+00;;;;120;-1,52E+00;-1,44E+00;;;;
121;-9,20E-01;0,00E+00;;;;121;1,44E+00;1,16E+00;;;;121;-1,44E+00;-1,40E+00;;;;
122;-9,60E-01;4,00E-02;;;;122;1,36E+00;1,16E+00;;;;122;-1,52E+00;-1,40E+00;;;;
123;-1,04E+00;-8,00E-02;;;;123;1,44E+00;1,08E+00;;;;123;-1,44E+00;-1,44E+00;;;;
124;-1,00E+00;-4,00E-02;;;;124;1,40E+00;1,12E+00;;;;124;-1,52E+00;-1,40E+00;;;;
125;-1,08E+00;-2,00E-01;;;;125;1,44E+00;1,20E+00;;;;125;-1,44E+00;-1,48E+00;;;;
126;-1,04E+00;-1,60E-01;;;;126;1,44E+00;1,16E+00;;;;126;-1,44E+00;-1,40E+00;;;;
127;-1,08E+00;-2,80E-01;;;;127;1,40E+00;1,24E+00;;;;127;-1,52E+00;-1,48E+00;;;;
128;-1,12E+00;-2,40E-01;;;;128;1,40E+00;1,20E+00;;;;128;-1,52E+00;-1,48E+00;;;;
129;-1,04E+00;-3,20E-01;;;;129;1,48E+00;1,24E+00;;;;129;6,40E-01;-1,36E+00;;;;
130;-1,08E+00;-3,20E-01;;;;130;1,40E+00;1,20E+00;;;;130;5,60E-01;-1,40E+00;;;;
131;-1,16E+00;-4,00E-01;;;;131;1,48E+00;1,28E+00;;;;131;6,40E-01;-1,16E+00;;;;
132;-1,12E+00;-4,00E-01;;;;132;1,40E+00;1,20E+00;;;;132;6,00E-01;-1,20E+00;;;;
133;-1,16E+00;-4,80E-01;;;;133;1,48E+00;1,32E+00;;;;133;7,20E-01;-1,00E+00;;;;
134;-1,12E+00;-4,40E-01;;;;134;1,48E+00;1,24E+00;;;;134;6,80E-01;-1,04E+00;;;;
135;-1,20E+00;-5,60E-01;;;;135;1,40E+00;1,32E+00;;;;135;7,60E-01;-8,00E-01;;;;
136;-1,20E+00;-5,20E-01;;;;136;1,48E+00;1,24E+00;;;;136;7,20E-01;-8,40E-01;;;;
137;-1,12E+00;-6,00E-01;;;;137;1,40E+00;1,36E+00;;;;137;8,00E-01;-6,80E-01;;;;
138;-1,16E+00;-5,60E-01;;;;138;1,48E+00;1,28E+00;;;;138;7,60E-01;-6,80E-01;;;;
139;-1,24E+00;-6,80E-01;;;;139;1,44E+00;1,36E+00;;;;139;8,80E-01;-5,20E-01;;;;
140;-1,24E+00;-6,40E-01;;;;140;1,48E+00;1,32E+00;;;;140;8,40E-01;-5,60E-01;;;;
141;-1,16E+00;-7,20E-01;;;;141;1,44E+00;1,36E+00;;;;141;9,20E-01;-4,00E-01;;;;
142;-1,20E+00;-6,80E-01;;;;142;1,44E+00;1,32E+00;;;;142;8,80E-01;-4,00E-01;;;;
143;-1,28E+00;-7,60E-01;;;;143;1,52E+00;1,36E+00;;;;143;9,60E-01;-2,40E-01;;;;
144;-1,24E+00;-7,20E-01;;;;144;1,52E+00;1,36E+00;;;;144;9,20E-01;-2,80E-01;;;;
145;-1,28E+00;-8,00E-01;;;;145;1,44E+00;1,40E+00;;;;145;1,00E+00;-1,20E-01;;;;
146;-1,28E+00;-7,60E-01;;;;146;1,52E+00;1,36E+00;;;;146;9,60E-01;-1,60E-01;;;;
147;-1,24E+00;-8,40E-01;;;;147;1,44E+00;1,40E+00;;;;147;1,04E+00;-4,00E-02;;;;
148;-1,24E+00;-8,00E-01;;;;148;1,52E+00;1,36E+00;;;;148;1,00E+00;-8,00E-02;;;;
149;-1,32E+00;-9,20E-01;;;;149;1,44E+00;1,44E+00;;;;149;1,08E+00;8,00E-02;;;;
150;-1,24E+00;-9,20E-01;;;;150;1,52E+00;1,36E+00;;;;150;1,04E+00;4,00E-02;;;;
151;-1,32E+00;-8,40E-01;;;;151;1,44E+00;1,44E+00;;;;151;1,12E+00;1,60E-01;;;;
152;-1,32E+00;-8,80E-01;;;;152;1,52E+00;1,40E+00;;;;152;1,12E+00;1,60E-01;;;;
153;-1,28E+00;-9,60E-01;;;;153;1,44E+00;1,44E+00;;;;153;1,04E+00;2,80E-01;;;;
154;-1,28E+00;-9,20E-01;;;;154;1,48E+00;1,40E+00;;;;154;1,08E+00;2,40E-01;;;;
155;-1,36E+00;-1,00E+00;;;;155;1,56E+00;1,44E+00;;;;155;1,16E+00;3,60E-01;;;;
156;-1,36E+00;-9,60E-01;;;;156;1,48E+00;1,40E+00;;;;156;1,12E+00;3,20E-01;;;;
157;-1,28E+00;-1,04E+00;;;;157;1,56E+00;1,48E+00;;;;157;1,20E+00;4,40E-01;;;;
158;-1,32E+00;-1,00E+00;;;;158;1,48E+00;1,48E+00;;;;158;1,16E+00;4,00E-01;;;;
159;-1,36E+00;-1,08E+00;;;;159;1,56E+00;1,40E+00;;;;159;1,20E+00;5,20E-01;;;;
160;-1,28E+00;-1,08E+00;;;;160;1,48E+00;1,48E+00;;;;160;1,16E+00;4,80E-01;;;;
161;-1,40E+00;-1,04E+00;;;;161;1,56E+00;1,40E+00;;;;161;1,24E+00;6,00E-01;;;;
162;-1,40E+00;-1,04E+00;;;;162;1,48E+00;1,44E+00;;;;162;1,20E+00;5,60E-01;;;;
163;-1,32E+00;-1,12E+00;;;;163;1,56E+00;1,48E+00;;;;163;1,24E+00;6,80E-01;;;;
164;-1,32E+00;-1,08E+00;;;;164;1,48E+00;1,48E+00;;;;164;1,28E+00;6,00E-01;;;;
165;-1,40E+00;-1,12E+00;;;;165;1,56E+00;1,44E+00;;;;165;1,20E+00;7,20E-01;;;;
166;-1,40E+00;-1,08E+00;;;;166;1,48E+00;1,44E+00;;;;166;1,24E+00;6,80E-01;;;;
167;-1,32E+00;-1,16E+00;;;;167;1,56E+00;1,52E+00;;;;167;1,32E+00;7,60E-01;;;;
168;-1,36E+00;-1,12E+00;;;;168;1,48E+00;1,44E+00;;;;168;1,24E+00;7,20E-01;;;;
169;-1,40E+00;-1,20E+00;;;;169;1,56E+00;1,52E+00;;;;169;1,32E+00;8,40E-01;;;;
170;-1,40E+00;-1,20E+00;;;;170;1,56E+00;1,52E+00;;;;170;1,24E+00;8,00E-01;;;;
171;-1,36E+00;-1,12E+00;;;;171;1,48E+00;1,44E+00;;;;171;1,36E+00;8,80E-01;;;;
172;-1,36E+00;-1,16E+00;;;;172;1,52E+00;1,52E+00;;;;172;1,28E+00;8,40E-01;;;;
173;-1,44E+00;-1,20E+00;;;;173;1,56E+00;1,48E+00;;;;173;1,36E+00;9,20E-01;;;;
174;-1,36E+00;-1,16E+00;;;;174;1,56E+00;1,52E+00;;;;174;1,36E+00;8,80E-01;;;;
175;-1,44E+00;-1,24E+00;;;;175;1,48E+00;1,44E+00;;;;175;1,32E+00;9,60E-01;;;;
176;-1,44E+00;-1,20E+00;;;;176;1,52E+00;1,48E+00;;;;176;1,32E+00;9,20E-01;;;;
177;-1,36E+00;-1,24E+00;;;;177;1,56E+00;1,52E+00;;;;177;1,40E+00;1,00E+00;;;;
178;-1,40E+00;-1,20E+00;;;;178;1,52E+00;1,52E+00;;;;178;1,40E+00;9,60E-01;;;;
179;-1,44E+00;-1,28E+00;;;;179;1,60E+00;1,48E+00;;;;179;1,32E+00;1,04E+00;;;;
180;-1,40E+00;-1,28E+00;;;;180;1,56E+00;1,48E+00;;;;180;1,36E+00;1,00E+00;;;;
181;-1,44E+00;-1,20E+00;;;;181;1,48E+00;1,56E+00;;;;181;1,40E+00;1,08E+00;;;;
182;-1,44E+00;-1,28E+00;;;;182;1,56E+00;1,56E+00;;;;182;1,36E+00;1,04E+00;;;;
183;-1,40E+00;-1,24E+00;;;;183;1,48E+00;1,48E+00;;;;183;1,44E+00;1,12E+00;;;;
184;-1,40E+00;-1,32E+00;;;;184;1,56E+00;1,56E+00;;;;184;1,36E+00;1,04E+00;;;;
185;-1,44E+00;-1,24E+00;;;;185;1,48E+00;1,48E+00;;;;185;1,44E+00;1,16E+00;;;;
186;-1,44E+00;-1,24E+00;;;;186;1,52E+00;1,56E+00;;;;186;1,40E+00;1,08E+00;;;;
187;-1,40E+00;-1,32E+00;;;;187;1,56E+00;1,48E+00;;;;187;1,44E+00;1,20E+00;;;;
188;-1,40E+00;-1,32E+00;;;;188;1,56E+00;1,48E+00;;;;188;1,40E+00;1,12E+00;;;;
189;-1,48E+00;-1,28E+00;;;;189;1,52E+00;1,56E+00;;;;189;1,44E+00;1,20E+00;;;;
190;-1,40E+00;-1,28E+00;;;;190;1,56E+00;1,56E+00;;;;190;1,40E+00;1,16E+00;;;;
191;-1,48E+00;-1,36E+00;;;;191;1,48E+00;1,48E+00;;;;191;1,44E+00;1,24E+00;;;;
192;-1,40E+00;-1,28E+00;;;;192;1,52E+00;1,52E+00;;;;192;1,48E+00;1,16E+00;;;;
193;-1,48E+00;-1,36E+00;;;;193;1,56E+00;1,56E+00;;;;193;1,40E+00;1,24E+00;;;;
194;-1,40E+00;-1,32E+00;;;;194;1,52E+00;1,52E+00;;;;194;1,40E+00;1,20E+00;;;;
195;-1,48E+00;-1,36E+00;;;;195;1,56E+00;1,56E+00;;;;195;1,48E+00;1,28E+00;;;;
196;-1,40E+00;-1,32E+00;;;;196;1,52E+00;1,56E+00;;;;196;1,40E+00;1,28E+00;;;;
197;-1,48E+00;-1,40E+00;;;;197;1,56E+00;1,52E+00;;;;197;1,48E+00;1,24E+00;;;;
198;-1,48E+00;-1,32E+00;;;;198;1,52E+00;1,52E+00;;;;198;1,48E+00;1,24E+00;;;;
199;-1,40E+00;-1,40E+00;;;;199;1,56E+00;1,56E+00;;;;199;1,44E+00;1,32E+00;;;;
200;-1,48E+00;-1,32E+00;;;;200;1,56E+00;1,56E+00;;;;200;1,48E+00;1,28E+00;;;;
201;-1,40E+00;-1,40E+00;;;;201;1,52E+00;1,52E+00;;;;201;1,44E+00;1,36E+00;;;;
202;-1,44E+00;-1,40E+00;;;;202;1,56E+00;1,52E+00;;;;202;1,44E+00;1,28E+00;;;;
203;-1,48E+00;-1,32E+00;;;;203;1,52E+00;1,56E+00;;;;203;1,52E+00;1,36E+00;;;;
204;-1,44E+00;-1,40E+00;;;;204;1,56E+00;1,56E+00;;;;204;1,48E+00;1,36E+00;;;;
